LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.002
variable tau equal 100*${dt}
variable tau equal 100*0.002
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.002
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.2
Lattice spacing in x,y,z = 1.4938016 1.4938016 1.4938016
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.950413 11.950413 11.950413)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.950413 11.950413 11.950413)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.002
thermo ${thermo_time}
thermo 100

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.2
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 19 19 19
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.162 | 3.162 | 3.162 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     12600   3.0606918      2.2761561      0              6.8649521      38.322602    
     12700   3.041533       2.1533354      0              6.7134072      37.198852    
     12800   2.9704954      2.1299575      0              6.5835249      36.902581    
     12900   2.9767635      2.1331276      0              6.5960926      36.905322    
     13000   3.0488809      2.1567625      0              6.7278507      36.892045    
     13100   3.0567972      2.2297246      0              6.8126815      37.625935    
     13200   3.0302015      2.1632124      0              6.7062952      37.193359    
     13300   2.9719242      2.0742708      0              6.5299805      36.144742    
     13400   2.9112123      2.1774239      0              6.5421102      37.18027     
     13500   2.9778268      2.2353314      0              6.6998905      37.763128    
     13600   3.0843063      2.1406238      0              6.7648242      37.232384    
     13700   3.0343859      2.1529525      0              6.702309       36.968933    
     13800   2.9819036      2.1893873      0              6.6600587      37.392223    
     13900   2.989868       2.1762319      0              6.6588441      37.212625    
     14000   2.9677679      2.2033704      0              6.6528485      37.564842    
     14100   2.982672       2.1834048      0              6.6552282      37.507587    
     14200   2.890708       2.3000701      0              6.6340149      38.733609    
     14300   3.0300327      2.1354502      0              6.67828        36.449132    
     14400   3.0518612      2.1945417      0              6.7700982      37.817163    
     14500   3.0389616      2.1914523      0              6.7476689      37.760605    
     14600   2.9660773      2.1462355      0              6.5931789      36.846501    
     14700   2.9082064      2.1866351      0              6.5468147      37.402905    
     14800   3.021474       2.1542933      0              6.6842913      37.044674    
     14900   3.0043312      2.2639381      0              6.7682345      38.386332    
     15000   3.0263706      2.1880148      0              6.7253541      37.462358    
     15100   3.0547787      2.109348       0              6.6892787      36.449159    
     15200   3.0071026      2.1287788      0              6.6372303      36.995332    
     15300   2.9718192      2.1545834      0              6.6101356      37.110496    
     15400   3.0058691      2.1517432      0              6.6583454      37.004605    
     15500   3.0394153      2.2231517      0              6.7800485      37.883436    
     15600   3.0537617      2.1948483      0              6.7732542      37.465373    
     15700   2.9814342      2.129276       0              6.5992436      36.9122      
     15800   2.9578275      2.1246392      0              6.5592141      36.783435    
     15900   2.9212649      2.2219856      0              6.6017434      37.896669    
     16000   3.0175081      2.1588208      0              6.6828729      37.249574    
     16100   3.0041977      2.1908251      0              6.6949214      37.573159    
     16200   3.0125634      2.1552899      0              6.6719286      37.005292    
     16300   2.9140413      2.2093558      0              6.5782835      37.517784    
     16400   2.9301689      2.184958       0              6.5780652      37.16866     
     16500   3.0795984      2.1340674      0              6.7512096      36.52721     
     16600   3.0417148      2.2251507      0              6.7854951      37.927377    
     16700   2.9795645      2.1662283      0              6.6333929      36.870041    
     16800   2.9147232      2.1749718      0              6.5449217      37.416352    
     16900   3.0006034      2.1039713      0              6.6026786      36.395891    
     17000   3.0254897      2.108821       0              6.6448396      36.414893    
     17100   2.9823829      2.2051047      0              6.6764947      37.492824    
     17200   3.054733       2.1272662      0              6.7071283      36.751124    
     17300   2.985066       2.1961037      0              6.6715163      37.337191    
     17400   2.9694085      2.1178029      0              6.5697407      36.380299    
     17500   2.967793       2.0922135      0              6.5417294      36.030563    
     17600   2.9580096      2.1994571      0              6.634305       37.287868    
     17700   3.0288438      2.2472877      0              6.788335       38.00834     
     17800   3.0034934      2.2826627      0              6.785703       38.711248    
     17900   3.0206765      2.135318       0              6.6641204      36.684383    
     18000   2.9267218      2.2381729      0              6.626112       37.736918    
     18100   2.9855542      2.177432       0              6.6535766      37.231598    
     18200   3.0432785      2.1219519      0              6.6846407      36.586498    
     18300   3.0106276      2.1611814      0              6.6749178      36.94989     
     18400   2.9104613      2.2310718      0              6.5946321      37.888174    
     18500   2.9690567      2.1125558      0              6.5639663      36.649919    
     18600   3.0063111      2.15606        0              6.6633248      37.105755    
     18700   2.9485123      2.3575078      0              6.7781168      39.12421     
     18800   3.0479054      2.1811996      0              6.7508253      37.557398    
     18900   2.8890927      2.1971809      0              6.5287038      37.233449    
     19000   2.9240947      2.1178309      0              6.5018313      36.29486     
     19100   2.9721907      2.1321115      0              6.5882207      36.809276    
     19200   3.050451       2.1218396      0              6.6952819      36.728998    
     19300   3.0460371      2.1576223      0              6.724447       37.246696    
     19400   3.0394041      2.132049       0              6.6889289      36.975122    
     19500   2.9837646      2.2030108      0              6.6764723      37.481569    
     19600   2.9562415      2.234567       0              6.6667641      37.573076    
     19700   2.9876582      2.1915013      0              6.6708004      37.354443    
     19800   2.9954287      2.1686161      0              6.6595652      37.089622    
     19900   2.9842794      2.1050744      0              6.5793076      36.569063    
     20000   2.9134358      2.1222708      0              6.4902907      36.519777    
     20100   3.0236266      2.0754945      0              6.6087199      36.196426    
     20200   3.0643787      2.1547696      0              6.7490932      37.083464    
     20300   3.0174311      2.1903699      0              6.7143065      37.701914    
     20400   2.9999165      2.1384043      0              6.6360818      36.883502    
     20500   2.9815112      2.1016316      0              6.5717147      36.653116    
     20600   2.9572017      2.1781379      0              6.6117745      37.215144    
     20700   3.0139794      2.2626817      0              6.7814432      38.274679    
     20800   3.0941227      2.1754422      0              6.8143602      37.65997     
     20900   3.0427046      2.0893484      0              6.6511767      36.112973    
     21000   2.976821       2.0895619      0              6.5526131      36.305142    
     21100   2.9521117      2.1761084      0              6.6021137      36.940719    
     21200   3.0345157      2.1678912      0              6.7174421      37.395222    
     21300   3.0544036      2.2259219      0              6.8052902      37.94662     
     21400   3.1843796      2.1617795      0              6.9360166      37.451665    
     21500   3.0632208      2.2001023      0              6.7926899      37.497024    
     21600   2.980704       2.1659108      0              6.6347838      37.344608    
     21700   2.9903647      2.1423772      0              6.625734       36.858773    
     21800   3.0714497      2.078751       0              6.683676       36.452823    
     21900   3.0724676      2.1484354      0              6.7548865      36.837269    
     22000   2.998423       2.3024153      0              6.7978538      38.4746      
     22100   3.0435433      2.1198719      0              6.6829576      36.483198    
     22200   2.9919229      2.0483996      0              6.5340927      35.954939    
     22300   2.9432334      2.1739194      0              6.5866138      37.002802    
     22400   3.0884416      2.104269       0              6.7346694      36.481049    
     22500   2.9837143      2.2576742      0              6.7310602      38.263985    
     22600   2.9711247      2.2020773      0              6.6565882      37.775606    
     22700   3.0018716      2.1288714      0              6.6294802      36.91098     
     22800   3.0421774      2.0948357      0              6.6558737      36.610775    
     22900   3.0094365      2.1633334      0              6.675284       37.300439    
     23000   3.045399       2.1056497      0              6.6715177      36.278237    
     23100   2.9549827      2.230217       0              6.6605268      37.865512    
     23200   3.0515527      2.1024655      0              6.6775595      36.63857     
     23300   2.9829314      2.2297631      0              6.7019755      37.979992    
     23400   3.0196354      2.1905491      0              6.7177906      37.576992    
     23500   2.9642646      2.1899088      0              6.6341346      37.391741    
     23600   2.994248       2.0722692      0              6.5614482      36.39789     
     23700   2.9376119      2.1334638      0              6.53773        36.829105    
     23800   3.0410388      2.1565153      0              6.7158462      37.184414    
     23900   3.0621382      2.2117429      0              6.8027074      37.534977    
     24000   2.9377241      2.2989738      0              6.7034082      38.585392    
     24100   2.9790085      2.1203245      0              6.5866554      36.763945    
     24200   2.9594861      2.1624076      0              6.5994692      37.163736    
     24300   2.9621824      2.2064051      0              6.6475092      37.719549    
     24400   2.9690595      2.2370769      0              6.6884915      37.916633    
     24500   3.0350656      2.1404133      0              6.6907887      36.963024    
     24600   2.9367754      2.1830948      0              6.5861069      37.399347    
     24700   2.9278216      2.1181782      0              6.5077662      36.798716    
     24800   2.9649172      2.1753532      0              6.6205573      37.028501    
     24900   3.0052237      2.2661428      0              6.7717772      38.396784    
     25000   3.0717449      2.1530057      0              6.7583732      36.921719    
     25100   2.9913622      2.1781454      0              6.6629977      37.462641    
     25200   2.9918812      2.1331996      0              6.6188301      36.73532     
     25300   2.963066       2.1833349      0              6.6257637      37.287921    
     25400   2.9697821      2.2030243      0              6.6555223      37.467999    
     25500   3.0605222      2.1093738      0              6.6979155      36.800239    
     25600   3.0029653      2.2102813      0              6.7125298      37.58844     
     25700   3.0302439      2.0776673      0              6.6208138      36.210931    
     25800   3.0080898      2.0152145      0              6.525146       35.526232    
     25900   2.9754257      2.1235505      0              6.5845098      36.522249    
     26000   2.9911206      2.2637192      0              6.7482093      38.127802    
     26100   3.0336466      2.2108933      0              6.7591414      38.018576    
     26200   2.9731471      2.2206013      0              6.6781443      37.784904    
     26300   3.0051812      2.1282907      0              6.6338615      36.819353    
     26400   2.990829       2.166836       0              6.650889       37.309799    
     26500   3.0387827      2.1303178      0              6.6862662      36.609695    
     26600   3.0596972      2.1109884      0              6.6982931      36.460911    
     26700   2.9461319      2.1858813      0              6.6029213      37.307017    
     26800   2.8984668      2.155722       0              6.5012994      36.734286    
     26900   3.0215337      2.0393348      0              6.5694224      36.012834    
     27000   3.0450109      2.1895065      0              6.7547926      37.360129    
     27100   3.0301187      2.2099974      0              6.7529561      37.475082    
     27200   3.0077952      2.137339       0              6.6468289      37.021978    
     27300   2.9930702      2.1340105      0              6.6214236      36.659938    
     27400   3.010724       2.1248479      0              6.6387288      36.883845    
     27500   3.0002458      2.1492933      0              6.6474646      37.056045    
     27600   3.0312227      2.237244       0              6.7818579      38.093649    
     27700   3.0827554      2.2817678      0              6.903643       38.188533    
     27800   3.0452351      2.1734437      0              6.7390659      37.347301    
     27900   2.9993008      2.118313       0              6.6150675      36.561205    
     28000   2.9288956      2.2065811      0              6.5977794      37.591753    
     28100   3.0294883      2.1870917      0              6.7291053      37.522449    
     28200   3.0842558      2.1986404      0              6.8227651      37.30886     
     28300   2.9809819      2.2349187      0              6.7042082      37.670914    
     28400   2.9223194      2.1404655      0              6.5218042      36.707703    
     28500   3.0043913      2.0652878      0              6.5696743      36.16079     
     28600   3.0043779      2.1662618      0              6.6706283      37.069553    
     28700   3.0213999      2.2239354      0              6.7538224      37.918005    
     28800   3.1109285      2.1042547      0              6.7683689      36.682899    
     28900   2.9476052      2.1522164      0              6.5714654      36.87407     
     29000   2.8998566      2.1863679      0              6.5340288      37.449746    
     29100   3.0167813      2.1167128      0              6.6396752      36.497648    
     29200   3.0183173      2.1642256      0              6.6894909      36.858367    
     29300   3.0056249      2.1526167      0              6.6588527      37.178439    
     29400   3.0363336      2.0943698      0              6.6466464      36.282093    
     29500   2.9572122      2.205805       0              6.6394574      37.348318    
     29600   3.0099547      2.1472408      0              6.6599683      36.892116    
     29700   3.0058296      2.1538436      0              6.6603864      37.256123    
     29800   3.0264681      2.1425078      0              6.6799933      37.214675    
     29900   2.9636234      2.2378988      0              6.6811632      38.010699    
     30000   2.9900577      2.128547       0              6.6114435      36.745892    
     30100   3.0061099      2.0738562      0              6.5808192      36.194183    
     30200   3.0033024      2.1474578      0              6.6502117      37.184859    
     30300   3.0626621      2.1646249      0              6.7563749      37.427974    
     30400   3.0750863      2.1778652      0              6.7882425      37.770224    
     30500   2.95086        2.1936731      0              6.6178017      37.326914    
     30600   2.9630113      2.0761009      0              6.5184478      36.214012    
     30700   2.9496866      2.1588955      0              6.581265       36.832868    
     30800   3.0155399      2.1512496      0              6.6723508      37.042637    
     30900   3.0698048      2.0941718      0              6.6966305      36.454781    
     31000   2.9754279      2.2146342      0              6.6755968      37.835363    
     31100   2.8672509      2.1838401      0              6.4826164      37.17855     
     31200   2.9241827      2.0676207      0              6.4517531      35.95963     
     31300   3.0188414      2.0921957      0              6.6182467      35.969378    
     31400   3.0196709      2.2169086      0              6.7442033      37.584373    
     31500   3.0344236      2.195306       0              6.744719       37.405939    
     31600   3.0357655      2.0589972      0              6.610422       36.023208    
     31700   2.963675       2.0473578      0              6.4906996      35.847928    
     31800   2.9731996      2.1432147      0              6.6008365      37.075202    
     31900   3.0644388      2.226147       0              6.8205607      38.442036    
     32000   2.9820475      2.2653462      0              6.7362334      38.300548    
     32100   2.9420784      2.1712102      0              6.582173       37.235042    
     32200   2.959796       2.11392        0              6.5514462      36.617331    
     32300   2.9848904      2.1620389      0              6.6371883      37.181637    
     32400   3.0637064      2.2316562      0              6.8249719      38.060322    
     32500   3.0167059      2.2827971      0              6.8056464      38.625812    
     32600   3.0321875      2.1771205      0              6.7231809      37.447808    
     32700   2.9683686      2.2235989      0              6.6739778      37.988684    
     32800   3.0451954      2.0730233      0              6.638586       36.404883    
     32900   3.0023124      2.0844778      0              6.5857474      36.187163    
     33000   2.9515593      2.0577508      0              6.4829279      35.979861    
     33100   2.9059181      2.1760865      0              6.5328353      37.263163    
     33200   3.0561248      2.1416826      0              6.7236313      37.09138     
     33300   3.0259959      2.2044019      0              6.7411795      37.676191    
     33400   3.0527734      2.0696435      0              6.6465678      35.835261    
     33500   2.9144248      2.1546524      0              6.524155       36.94641     
     33600   2.9990333      2.1144293      0              6.6107827      36.354672    
     33700   3.108475       2.1817325      0              6.8421683      37.61022     
     33800   3.0535384      2.2015432      0              6.7796143      37.84994     
     33900   2.9858846      2.146942       0              6.6235819      37.006481    
     34000   2.9605019      2.1448054      0              6.5833898      36.726561    
     34100   3.000572       2.1275834      0              6.6262437      36.9724      
     34200   3.063854       2.1886956      0              6.7822325      37.683613    
     34300   3.0959878      2.2749411      0              6.9166552      38.580301    
     34400   3.0696121      2.1779085      0              6.7800784      37.589761    
     34500   3.0452745      2.1104211      0              6.6761024      36.710973    
     34600   2.961816       2.2026632      0              6.643218       37.446501    
     34700   2.9274474      2.2195911      0              6.6086181      37.715659    
     34800   3.0577333      2.0653264      0              6.6496868      36.247588    
     34900   2.9842461      2.2849449      0              6.7591283      38.588978    
     35000   3.0215728      2.2567366      0              6.7868827      38.195775    
     35100   3.0166966      2.1136044      0              6.6364399      36.495969    
     35200   2.9082213      2.1409469      0              6.5011488      36.833617    
     35300   2.9248636      2.1922098      0              6.5773629      37.050156    
     35400   3.0346035      2.1266214      0              6.6763041      36.563905    
     35500   3.0252185      2.1571296      0              6.6927415      37.346297    
     35600   2.9512662      2.2786149      0              6.7033527      38.347046    
     35700   3.024287       2.1778946      0              6.71211        37.072644    
     35800   2.9249789      2.1610802      0              6.5464062      36.884284    
     35900   2.8926527      2.1459067      0              6.482767       36.5483      
     36000   3.0382957      2.0681791      0              6.6233973      36.192667    
