Running 3D simulation for density = 0.8
LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.7099759 1.7099759 1.7099759
Created orthogonal box = (0 0 0) to (13.679808 13.679808 13.679808)
  1 by 1 by 1 MPI processor grid
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.679808 13.679808 13.679808)
  create_atoms CPU = 0.000 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.184 | 3.184 | 3.184 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     11100   2.9672171      0.91575484     0              5.3644072      11.994612    
     11200   3.0492473      0.92582553     0              5.4974631      12.022544    
     11300   3.0723301      0.98949784     0              5.5957428      12.598002    
     11400   3.0664578      0.95059597     0              5.5480368      12.237975    
     11500   2.9663807      1.00252        0              5.4499184      12.504589    
     11600   2.8926734      1.0092625      0              5.346154       12.559       
     11700   2.9293366      0.97430852     0              5.3661679      12.347927    
     11800   3.0750951      0.91857757     0              5.528968       12.090876    
     11900   3.0976858      0.89597851     0              5.5402385      11.872818    
     12000   3.0342169      0.86341796     0              5.412521       11.639121    
     12100   2.9587688      0.95237368     0              5.3883598      12.307049    
     12200   3.0237586      0.89892019     0              5.4323434      11.869868    
     12300   3.0488292      0.92741769     0              5.4984284      11.960129    
     12400   3.0100806      0.98475147     0              5.4976677      12.532036    
     12500   2.929504       0.93935161     0              5.3314619      12.189421    
     12600   2.9474649      0.88245881     0              5.3014973      11.672205    
     12700   3.0327146      0.94299717     0              5.4898478      12.159191    
     12800   3.0357348      0.98335363     0              5.5347324      12.501339    
     12900   3.0260802      0.9329077      0              5.4698117      11.966162    
     13000   2.9076456      1.024759       0              5.3840978      12.605605    
     13100   2.9647824      0.94865404     0              5.3936561      12.243023    
     13200   3.0572215      1.0039161      0              5.5875092      12.48482     
     13300   3.1421174      0.88459052     0              5.5954653      11.793269    
     13400   2.9694758      0.95887261     0              5.4109114      12.270345    
     13500   2.9855425      0.91877609     0              5.3949032      11.987089    
     13600   2.9876039      0.98528822     0              5.4645059      12.518139    
     13700   3.0630243      0.96345031     0              5.5557434      12.362187    
     13800   2.9922282      1.0231755      0              5.5093263      12.749076    
     13900   2.9129145      0.94974328     0              5.3169816      12.020806    
     14000   2.9399167      0.92237        0              5.3300918      11.822384    
     14100   2.9788343      1.0080198      0              5.4740895      12.638955    
     14200   3.0245512      1.0022408      0              5.5368524      12.787483    
     14300   2.9734537      1.0326348      0              5.4906375      12.633131    
     14400   3.0140393      0.92300981     0              5.4418613      11.933873    
     14500   2.9588032      0.98536813     0              5.4214058      12.339459    
     14600   2.9878452      0.95908489     0              5.4386643      12.295671    
     14700   3.0464124      0.93201097     0              5.4993983      12.040674    
     14800   3.0133318      1.0161213      0              5.533912       12.633158    
     14900   2.9607055      1.0290432      0              5.467933       12.679248    
     15000   2.9466597      0.92871203     0              5.3465434      11.941602    
     15100   2.9110355      0.97970162     0              5.3441227      12.365397    
     15200   3.0077598      1.042419       0              5.5518557      12.915675    
     15300   3.0947145      0.92471942     0              5.5645245      11.996055    
     15400   3.0285798      0.91615967     0              5.4568112      11.94986     
     15500   2.9592737      0.95607079     0              5.3928139      12.247512    
     15600   2.986844       0.94050749     0              5.4185858      12.003779    
     15700   3.0470882      0.98162234     0              5.550023       12.482055    
     15800   3.1151477      1.0283314      0              5.6987713      12.854198    
     15900   3.0066323      0.99709396     0              5.5048403      12.524       
     16000   3.0023989      0.89998545     0              5.4013848      11.861778    
     16100   2.9474763      0.98437213     0              5.4034278      12.340441    
     16200   3.0458854      0.93421746     0              5.5008147      12.022177    
     16300   3.049218       0.97779527     0              5.5493889      12.480332    
     16400   2.9946844      0.95288062     0              5.4427138      12.21277     
     16500   2.9436998      0.88698073     0              5.3003743      11.653945    
     16600   2.9741091      0.92260168     0              5.381587       11.968456    
     16700   3.0027857      1.0073178      0              5.5092971      12.65118     
     16800   3.0523779      0.94494197     0              5.5212731      12.269435    
     16900   3.0085985      0.95223631     0              5.4629306      12.220548    
     17000   3.0367578      0.87728345     0              5.430196       11.805689    
     17100   2.9499478      0.99791375     0              5.4206749      12.414145    
     17200   3.0000919      0.99086352     0              5.488804       12.326748    
     17300   3.0491394      1.0100457      0              5.5815215      12.527367    
     17400   2.9752184      1.0326625      0              5.4933109      12.672264    
     17500   2.987256       0.86224225     0              5.3409383      11.534304    
     17600   2.9803501      0.90463064     0              5.372973       11.795513    
     17700   3.0152121      0.94873152     0              5.4693413      12.13631     
     17800   3.0320485      0.96249294     0              5.5083449      12.245285    
     17900   2.9271092      0.90845092     0              5.2969709      11.81488     
     18000   2.8931061      0.93947789     0              5.2770181      11.986808    
     18100   3.0293187      0.90790263     0              5.449662       11.830926    
     18200   3.0125223      0.98067402     0              5.4972511      12.480484    
     18300   3.01092        0.96390997     0              5.4780846      12.312514    
     18400   3.0117029      0.85300567     0              5.3683541      11.511309    
     18500   2.8941276      0.90268004     0              5.2417517      11.725259    
     18600   2.9779193      0.92689091     0              5.3915888      11.975018    
     18700   2.9774782      1.0121883      0              5.4762248      12.594551    
     18800   3.0050106      0.94786323     0              5.4531781      12.182227    
     18900   2.9575396      0.95729718     0              5.3914405      12.123433    
     19000   3.0430649      0.83722511     0              5.3995936      11.407935    
     19100   3.0764955      0.94319021     0              5.5556801      12.148078    
     19200   3.035578       0.9983374      0              5.5494811      12.628674    
     19300   2.9401604      0.9610387      0              5.3691258      12.324296    
     19400   2.9426579      0.93524045     0              5.347072       11.965975    
     19500   2.9795096      0.97054039     0              5.4376226      12.32825     
     19600   3.0294797      0.97675311     0              5.5187538      12.488588    
     19700   3.0394007      0.93066211     0              5.487537       12.166658    
     19800   3.00669        0.90105507     0              5.408888       11.768711    
     19900   2.9857999      0.92093957     0              5.3974526      11.960055    
     20000   2.9756927      0.97668366     0              5.4380432      12.322715    
     20100   3.0616132      0.91200642     0              5.5021838      11.981498    
     20200   3.0250074      0.97938457     0              5.5146802      12.306317    
     20300   2.9438246      0.96717535     0              5.3807562      12.183845    
     20400   2.9364358      0.91037519     0              5.3128782      11.818423    
     20500   2.940603       1.0367495      0              5.4455003      12.666336    
     20600   3.0739026      0.94285206     0              5.5514545      12.138766    
     20700   3.0154208      0.94771866     0              5.4686413      12.195229    
     20800   2.9716577      0.95462403     0              5.4099341      12.211998    
     20900   3.0047793      0.89919974     0              5.4041679      11.84127     
     21000   2.996915       0.92340208     0              5.4165796      11.911301    
     21100   3.0479625      0.96256477     0              5.5322762      12.414066    
     21200   3.1567045      0.91670316     0              5.6494479      12.128286    
     21300   3.0049086      0.9597342      0              5.4648962      12.209002    
     21400   2.9978739      0.88832695     0              5.3829421      11.613131    
     21500   2.971928       0.95441109     0              5.4101264      12.201707    
     21600   3.020286       0.99207382     0              5.5202908      12.551689    
     21700   3.1410115      0.95542132     0              5.664638       12.317964    
     21800   2.9953025      0.99265485     0              5.4834148      12.53865     
     21900   2.9256237      0.96347798     0              5.3497708      12.198653    
     22000   2.9688694      0.94237637     0              5.393506       12.191377    
     22100   3.0466382      0.94406369     0              5.5117895      12.301766    
     22200   3.0187026      1.0212744      0              5.5471173      12.727098    
     22300   2.9155449      0.97526863     0              5.3464505      12.397518    
     22400   2.8919217      0.9510581      0              5.2868225      12.092632    
     22500   2.9694649      0.96785339     0              5.4198759      12.397267    
     22600   3.0260895      0.9676194      0              5.5045373      12.380831    
     22700   3.0498504      0.90605397     0              5.4785958      11.948534    
     22800   2.953723       0.97108865     0              5.3995098      12.287113    
     22900   2.8981263      0.87335355     0              5.2184203      11.513088    
     23000   2.889379       0.89502637     0              5.2269786      11.70744     
     23100   2.9741124      0.96920453     0              5.4281948      12.161315    
     23200   2.9994721      0.99255503     0              5.4895664      12.580405    
     23300   3.0399557      0.9480756      0              5.5057825      12.290046    
     23400   3.0383672      0.90411453     0              5.45944        11.827352    
     23500   2.925422       0.94544406     0              5.3314344      12.138044    
     23600   2.9634855      0.88063053     0              5.3236883      11.537507    
     23700   3.0468168      0.96661614     0              5.5346098      12.30493     
     23800   3.0480343      0.99256454     0              5.5623836      12.575631    
     23900   3.0110607      0.94006685     0              5.4544526      12.111942    
     24000   2.9693368      0.92641184     0              5.3782422      12.017915    
     24100   2.9096629      1.0532462      0              5.4156094      12.801023    
     24200   2.9746412      1.0234373      0              5.4832205      12.72026     
     24300   3.0085536      0.98908818     0              5.499715       12.554939    
     24400   3.0124343      0.94675706     0              5.4632021      12.11687     
     24500   2.9516871      0.90452805     0              5.3298968      11.743454    
     24600   2.8821221      0.87167758     0              5.1927499      11.497955    
     24700   2.9400614      0.96267469     0              5.3706134      12.109721    
     24800   3.0081397      0.94237348     0              5.4523798      12.226405    
     24900   3.0375333      0.9273782      0              5.4814534      11.969276    
     25000   2.9871906      0.96958515     0              5.4481831      12.282154    
     25100   2.9231136      0.96008476     0              5.3426142      12.236615    
     25200   2.9502812      0.89091012     0              5.3141711      11.665757    
     25300   3.03682        0.93785694     0              5.4908627      12.128317    
     25400   3.0820406      0.95251354     0              5.5733171      12.177042    
     25500   3.012037       0.94300705     0              5.4588565      12.023316    
     25600   2.9637877      0.94542028     0              5.3889311      12.206702    
     25700   2.9841605      0.94714469     0              5.4211998      12.234164    
     25800   2.9626937      1.0356317      0              5.4775023      12.749149    
     25900   3.0780656      0.91755322     0              5.5323972      12.03617     
     26000   2.9662481      0.98204782     0              5.4292475      12.377233    
     26100   2.9066112      0.91212074     0              5.2699086      11.760989    
     26200   2.9838859      0.91821939     0              5.3918627      11.947271    
     26300   3.0613359      0.9200945      0              5.5098561      12.006187    
     26400   2.9957425      0.97700953     0              5.4684291      12.348396    
     26500   2.9529911      0.97999776     0              5.4073215      12.33988     
     26600   3.0221221      0.89814221     0              5.4291119      11.762154    
     26700   3.0309061      1.0292176      0              5.5733568      12.731336    
     26800   3.0807544      0.95721245     0              5.5760876      12.236693    
     26900   2.9722849      0.94276303     0              5.3990134      12.115273    
     27000   2.9733634      0.91696068     0              5.3748281      11.828784    
     27100   3.004786       0.94753534     0              5.4525136      12.166812    
     27200   3.078955       0.97091536     0              5.5870928      12.342146    
     27300   3.088009       1.0078042      0              5.637556       12.791156    
     27400   2.988869       0.91348238     0              5.3945968      11.882843    
     27500   2.9333306      0.98246642     0              5.3803139      12.285763    
     27600   3.0592205      0.90335359     0              5.4899437      11.887226    
     27700   2.9942652      1.0087815      0              5.4979862      12.546346    
     27800   2.9443583      0.93754742     0              5.3519283      12.14279     
     27900   2.9013973      0.91555019     0              5.2655212      11.963986    
     28000   3.0321602      0.8930384      0              5.4390578      11.912247    
     28100   3.0204331      0.94480523     0              5.4732427      12.231497    
     28200   2.9885282      0.96438973     0              5.4449931      12.217303    
     28300   2.9588047      0.95098713     0              5.3870271      12.108811    
     28400   2.9936682      0.91035735     0              5.3986671      11.843705    
     28500   3.0728034      0.93944058     0              5.5463951      12.05409     
     28600   3.0957617      0.95233227     0              5.5937074      12.390702    
     28700   3.0181845      0.88447833     0              5.4095445      11.835777    
     28800   2.9653284      0.92263724     0              5.3684579      11.878572    
     28900   2.9777176      0.9643151      0              5.4287106      12.229613    
     29000   2.9950012      1.0033493      0              5.4936575      12.542408    
     29100   3.053323       0.88486028     0              5.4626084      11.772941    
     29200   2.9690786      0.83465794     0              5.2861012      11.412294    
     29300   2.9507604      0.8828487      0              5.3068282      11.679997    
     29400   3.0205978      0.95624664     0              5.484931       12.271239    
     29500   3.0249558      0.97512124     0              5.5103394      12.416793    
     29600   3.0132965      0.93112564     0              5.4488635      12.070311    
     29700   2.9525766      0.9388332      0              5.3655356      12.055507    
     29800   2.9020876      0.87839865     0              5.2294045      11.527206    
     29900   2.9024791      0.9322203      0              5.2838131      11.933185    
     30000   2.9967097      0.9882915      0              5.4811613      12.518495    
     30100   3.058168       0.9359552      0              5.5209673      12.229436    
     30200   3.0702636      0.8655358      0              5.4686825      11.527409    
     30300   2.9826379      0.87270029     0              5.3444726      11.537644    
     30400   2.9540794      0.94844105     0              5.3773965      12.126645    
     30500   3.0210146      1.0695937      0              5.5989029      13.067503    
     30600   3.0431013      1.0016763      0              5.5640994      12.682338    
     30700   2.9426601      1.0352213      0              5.4470562      12.773439    
     30800   2.9741929      0.94474315     0              5.4038541      12.090289    
     30900   3.0027972      0.9422394      0              5.4442358      12.040271    
     31000   3.1716349      0.90540516     0              5.6605346      11.944477    
     31100   3.0891954      1.0257956      0              5.657326       12.804641    
     31200   3.0584418      0.91616603     0              5.5015886      11.981859    
     31300   2.9656394      0.98159718     0              5.4278842      12.299668    
     31400   2.9879265      0.91338181     0              5.3930832      11.962208    
     31500   3.0182441      0.90038274     0              5.4255383      11.886744    
     31600   3.0234585      1.0163231      0              5.5492964      12.754755    
     31700   3.0931156      0.9817445      0              5.6191524      12.462162    
     31800   2.9622442      0.98175115     0              5.4229478      12.477336    
     31900   2.975281       0.88271295     0              5.3434553      11.745289    
     32000   2.9704479      0.97213721     0              5.4256334      12.202414    
     32100   3.0575926      0.92828785     0              5.5124373      12.095812    
     32200   3.0342209      0.91461764     0              5.4637266      11.991077    
     32300   2.8677771      0.93691324     0              5.2364784      12.088474    
     32400   2.8925953      0.9245864      0              5.2613607      11.806043    
     32500   2.9685814      0.93328414     0              5.383982       12.081076    
     32600   3.0326835      0.93861983     0              5.4854238      12.134004    
     32700   2.9849336      1.0246751      0              5.4998892      12.758471    
     32800   2.983113       0.93930962     0              5.4117943      12.135277    
     32900   2.8877997      0.95710969     0              5.2866942      12.1042      
     33000   2.9810399      0.90949324     0              5.3788697      11.850728    
     33100   3.028663       1.0178994      0              5.5586756      12.597906    
     33200   3.0819055      0.88297432     0              5.5035753      11.663093    
     33300   2.9768265      0.90607494     0              5.3691344      11.616614    
     33400   2.9205528      0.98161991     0              5.36031        12.386324    
     33500   2.9929731      0.97483176     0              5.4620993      12.33369     
     33600   3.0014067      1.0065421      0              5.5064538      12.46039     
